de,en,type,example,example_en
Das Kennzeichen,"mark, licence plate",noun,Das Kennzeichen ist eindeutig.,The mark is clear.
Das Kind,"child, kid",noun,Das Kind spielt im Garten.,The child plays in the garden.
Das Kleid,"dress, clothes",noun,Sie trägt ein rotes Kleid.,She is wearing a red dress.
Das Komma,"comma, point",noun,Setz ein Komma.,Put a comma.
Das Krankenhaus,"hospital, sickhouse",noun,Mein Bruder arbeitet im Krankenhaus.,My brother works in the hospital.
Das Kreuz,"cross, club",noun,Das Kreuz steht auf dem Hügel.,The cross stands on the hill.
Das Lager,"warehouse, bearing",noun,Die Waren sind im Lager.,The goods are in the warehouse.
Das Land,"country, land",noun,Deutschland ist ein Land in Europa.,Germany is a country in Europe.
Das Leben,life,noun,Das Leben ist schön.,Life is beautiful.
Das Licht,light,noun,Mach das Licht an.,Turn on the light.
Das Loch,"hole, loch",noun,Im Pullover ist ein Loch.,There is a hole in the sweater.
Das Lokal,"bar, pub",noun,Wir gehen ins Lokal.,We are going to the bar.
Das Magazin,"magazine, warehouse",noun,Sie liest ein Magazin.,She reads a magazine.
Das Mal,"time, brand",noun,Ich war schon einmal in Paris.,I have been to Paris once.
Das Maul,"mouth, chops",noun,Das Pferd hat ein großes Maul.,The horse has a big mouth.
Das Maß,"measure, degree",noun,No examples available.,
Das Meer,"sea, mare",noun,Das Meer ist blau.,The sea is blue.
Das Messer,"knife, meter",noun,Das Messer ist scharf.,The knife is sharp.
Das Modell,model,noun,Er baut ein Modell.,He builds a model.
Das Mädchen,"girl, maid",noun,Das Mädchen spielt im Garten.,The girl is playing in the garden.
Das Nest,"nest, hicksville",noun,Das Nest ist im Baum.,The nest is in the tree.
Das Netz,"net, network",noun,Das Netz ist groß.,The net is large.
Das Ohr,"ear, hearing",noun,Mein Ohr tut weh.,My ear hurts.
Das Opfer,"victim, sacrifice",noun,Er ist ein Opfer des Verbrechens.,He is a victim of the crime.
Das Papier,"paper, document",noun,Ich brauche Papier zum Schreiben.,I need paper for writing.
Das Pferd,"horse, vaulting horse",noun,Das Pferd läuft schnell über die Wiese.,The horse runs quickly across the meadow.
Das Programm,"program, programme",noun,Das Programm läuft im Fernsehen.,The program is on TV.
Das Quadrat,square,noun,Das Quadrat ist gleichmäßig.,The square is even.
Das Rad,"wheel, cartwheel",noun,Das Rad dreht sich.,The wheel turns.
Das Recht,"law, right",noun,Das Recht schützt die Bürger.,The law protects the citizens.
Das Ried,"cane, reed",noun,Im Ried leben viele Vögel.,Many birds live in the reed bed.
Das Ross,"steed, knight",noun,Das Ross ist schnell.,The steed is fast.
Das Russisch,Russian,noun,Ich spreche Russisch.,I speak Russian.
Das Russland,Russia,noun,Russland ist ein großes Land.,Russia is a large country.
Das Salz,"salt, sal",noun,Kannst du mir das Salz geben?,Can you pass me the salt?
Das Schach,"chess, check",noun,Wir spielen Schach.,We play chess.
Das Schaf,"sheep, simpleton",noun,Das Schaf frisst Gras.,The sheep eats grass.
Das Schiff,"ship, nave",noun,Das Schiff fährt auf dem Meer.,The ship sails on the sea.
Das Schloss,"lock, castle",noun,Das Schloss an der Tür ist kaputt.,The lock on the door is broken.
Das Schmalz,"lard, fat",noun,Schmalz wird zum Kochen verwendet.,Lard is used for cooking.
Das Schwein,"pig, swine",noun,Das Schwein wühlt im Schlamm.,The pig roots in the mud.
Das Silber,"silver, silverware",noun,Silber glänzt im Sonnenlicht.,Silver shines in the sunlight.
Das Spanisch,"Spanish, Ruy Lopez",noun,Sie spricht Spanisch.,She speaks Spanish.
Das Spiel,"game, play",noun,Das Spiel macht Spaß.,The game is fun.
Das Stück,"piece, part",noun,Ich esse ein Stück Kuchen.,I’m eating a piece of cake.
Das Teil,"part, piece",noun,Ein Teil fehlt.,A part is missing.
Das Thema,"theme, subject",noun,Das Thema des Tages ist Umwelt.,The topic of the day is environment.
Das Tier,"animal, beast",noun,Das Tier lebt im Wald.,The animal lives in the forest.
Das Tor,"goal, gate",noun,Das Tor ist offen.,The gate is open.
Das Universum,universe,noun,Das Universum ist unendlich.,The universe is infinite.
Das Viereck,"quadrilateral, quadrangle",noun,Ein Viereck hat vier Seiten.,A quadrilateral has four sides.
Das Volk,"people, folk",noun,Das Volk feiert ein großes Fest.,The people celebrate a big festival.
Das Vorzeichen,"sign, augury",noun,Das Vorzeichen ist negativ.,The sign is negative.
Das Wasser,water,noun,Ich trinke Wasser.,I drink water.
Das Werk,"work, plant",noun,Sein Werk ist ein literarisches Meisterwerk.,His work is a literary masterpiece.
Das Wesen,"being, creature",noun,Das Wesen des Menschen ist komplex.,The nature of the human being is complex.
Das Wetter,"weather, air",noun,Das Wetter ist heute schön.,The weather is nice today.
Das Wort,"word, expression",noun,Schreibe das Wort auf.,Write down the word.
Das Wörterbuch,"dictionary, wordbook",noun,Ich benutze ein Wörterbuch.,I use a dictionary.
Das Zeichen,"sign, character",noun,Das ist ein Zeichen für Gefahr.,That is a sign of danger.
Das Zeitalter,"age, era",noun,Das ist ein neues Zeitalter.,This is a new age.
Das Zentrum,"centre, center",noun,Das Zentrum der Stadt ist lebendig.,The centre of the city is lively.
Das Öl,oil,noun,Ich brauche Öl zum Kochen.,I need oil for cooking.
Das Österreich,Austria,noun,No examples available.,
Der Abend,"evening, eve",noun,Guten Abend!,Good evening!
Der Abfall,"waste, garbage",noun,Der Abfall muss getrennt werden.,The waste must be separated.
Der Abort,"miscarriage, toilet",noun,Der Abort war tragisch.,The miscarriage was tragic.
Der Absatz,"paragraph, heel",noun,Der Absatz ist lang.,The paragraph is long.
Der Abschnitt,"section, sector",noun,Lies den nächsten Abschnitt.,Read the next section.
Der Abtritt,"resignation, exit",noun,Sein Abtritt war überraschend.,His resignation was surprising.
Der Acker,"field, acre",noun,Der Bauer arbeitet auf dem Acker.,The farmer works in the field.
Der Adler,"eagle, Aquila",noun,Der Adler fliegt hoch.,The eagle flies high.
Der Affe,"monkey, ape",noun,Der Affe klettert auf den Baum.,The monkey climbs the tree.
Der Akt,"act, nude",noun,No examples available.,
Der Antrieb,"drive, impetus",noun,Der Antrieb des Motors ist stark.,The drive of the engine is strong.
Der Anzug,"suit, attire",noun,Er trägt einen Anzug.,He is wearing a suit.
Der Apfel,"apple, apple tree",noun,Der Apfel ist rot und süß.,The apple is red and sweet.
Der Arm,"arm, right-hand man",noun,Mein Arm tut weh.,My arm hurts.
Der Artikel,"article, commodity",noun,Der Artikel ist sehr interessant.,The article is very interesting.
Der Ast,"branch, bough",noun,Ein Vogel sitzt auf dem Ast.,A bird is sitting on the branch.
Der Aufzug,"lift, elevator",noun,Der Aufzug ist im Erdgeschoss.,The elevator is on the ground floor.
Der Ausdruck,"expression, print-out",noun,Sein Gesicht zeigt einen traurigen Ausdruck.,His face shows a sad expression.
Der Autoskooter,"bumper car, dodgem",noun,No examples available.,
Der Backfisch,"backfisch, fish",noun,Sie ist ein Backfisch.,She is a teenage girl (backfisch).
Der Balkon,"balcony, hat shelf",noun,Wir frühstücken auf dem Balkon.,We have breakfast on the balcony.
Der Ball,"ball, dance",noun,Der Junge wirft den Ball.,The boy throws the ball.
Der Bau,"construction, building",noun,Der Bau ist fast fertig.,The construction is almost finished.
Der Bauch,"belly, stomach",noun,Mein Bauch tut weh.,My stomach hurts.
Der Bauer,"pawn, farmer",noun,Der Bauer arbeitet auf dem Feld.,The farmer works in the field.
Der Baum,"tree, boom",noun,Der Baum ist sehr alt.,The tree is very old.
Der Berg,"mountain, hill",noun,Wir wandern auf den Berg.,We are hiking up the mountain.
Der Beschuss,"fire, shelling",noun,Der Beschuss war heftig.,The fire was intense.
Der Bezug,"cover, relation",noun,Ich brauche einen neuen Bezug für das Sofa.,I need a new cover for the sofa.
Der Blitz,"lightning, flash",noun,Der Blitz ist hell.,The lightning is bright.
Der Block,"block, bloc",noun,Der Block ist schwer.,The block is heavy.
Der Bock,"buck, billy goat",noun,Der Bock springt über den Zaun.,The buck jumps over the fence.
Der Boden,"ground, bottom",noun,Der Boden ist nass.,The ground is wet.
Der Brief,"letter, epistle",noun,Ich schreibe einen Brief an meine Freundin.,I am writing a letter to my friend.
Der Bruch,"fraction, fracture",noun,Ein Bruch ist ein Teil eines Ganzen.,A fraction is a part of a whole.
Der Bruder,"brother, monk",noun,Mein Bruder ist älter als ich.,My brother is older than me.
Der Buckel,"hump, back",noun,Der Kamel hat einen Buckel.,The camel has a hump.
Der Bug,"bow, bug",noun,Der Bug des Schiffes ist scharf.,The bow of the ship is sharp.
Der Bulle,"cop, copper",noun,Der Bulle verfolgt den Dieb.,The cop chases the thief.
Der Bund,"union, fret",noun,Der Bund der Staaten ist stark.,The union of states is strong.
Der Bus,"bus, coach",noun,Der Bus kommt um acht Uhr.,The bus arrives at eight o'clock.
Der Bär,"bear, teddy bear",noun,No examples available.,
Der Chinese,Chinese,noun,Er spricht chinesisch.,He speaks Chinese.
Der Chor,"choir, chorus",noun,Der Chor singt schön.,The choir sings beautifully.
Der Computer,computer,noun,Der Computer ist neu.,The computer is new.
Der Deutscher,German,noun,Er ist Deutscher.,He is German.
Der Dieb,"thief, robber",noun,Der Dieb wurde gefasst.,The thief was caught.
Der Dienst,"service, duty",noun,Er ist im Dienst.,He is on duty.
Der Dienstag,Tuesday,noun,Am Dienstag habe ich einen Termin.,I have an appointment on Tuesday.
Der Drache,"dragon, Draco",noun,Der Drache lebt in der Höhle.,The dragon lives in the cave.
Der Druck,"pressure, print",noun,Der Druck ist hoch.,The pressure is high.
Der Ehemann,husband,noun,Mein Ehemann arbeitet im Krankenhaus.,My husband works in the hospital.
Der Eimer,"bucket, pail",noun,Der Eimer ist voll mit Wasser.,The bucket is full of water.
Der Elefant,elephant,noun,Der Elefant ist das größte Landtier.,The elephant is the largest land animal.
Der Esel,"donkey, ass",noun,Der Esel steht auf der Wiese.,The donkey stands in the meadow.
Der Fall,"case, fall",noun,Im Notfall ruf die Polizei.,"In case of emergency, call the police."
Der Februar,February,noun,Der Februar ist der zweite Monat.,February is the second month.
Der Fehler,"error, mistake",noun,Ich habe einen Fehler gemacht.,I made a mistake.
Der Fisch,"fish, Pisces",noun,Der Fisch schwimmt im Wasser.,The fish swims in the water.
Der Fluss,"river, flux",noun,Der Fluss fließt durch die Stadt.,The river flows through the city.
Der Flügel,"wing, grand piano",noun,Der Vogel breitet seine Flügel aus.,The bird spreads its wings.
Der Freitag,"Friday, day off",noun,Am Freitag habe ich frei.,I have the day off on Friday.
Der Freund,"friend, boyfriend",noun,Mein Freund hilft mir oft.,My friend helps me often.
Der Frieden,peace,noun,Wir wünschen uns Frieden auf der Welt.,We wish for peace in the world.
Der Friedhof,"cemetery, graveyard",noun,Der Friedhof ist ruhig.,The cemetery is quiet.
Der Frühling,"spring, springtime",noun,Im Frühling blühen die Blumen.,"In spring, the flowers bloom."
Der Fuchs,"fox, chestnut",noun,Der Fuchs läuft durch den Wald.,The fox runs through the forest.
Der Fuß,"foot, base",noun,Mein Fuß tut weh.,My foot hurts.
Der Fußball,"football, soccer",noun,Wir spielen Fußball im Park.,We are playing soccer in the park.
Der Fußweg,"footpath, sidewalk",noun,No examples available.,
Der Führer,"leader, guide",noun,Der Führer zeigt den Weg.,The leader shows the way.
Der Gang,"gear, corridor",noun,No examples available.,
Der Garten,"garden, plants in tubs",noun,Die Blumen blühen im Garten.,The flowers are blooming in the garden.
Der Gast,"guest, visitor",noun,Wir haben heute einen Gast.,We have a guest today.
Der Geburtstag,"birthday, day of birth",noun,Heute ist mein Geburtstag.,Today is my birthday.
Der Geist,"spirit, ghost",noun,Der Geist des Weihnachtsfestes ist überall.,The spirit of Christmas is everywhere.
Der Geschmack,"taste, flavour",noun,Der Geschmack ist süß.,The taste is sweet.
Der Gipfel,"summit, peak",noun,Wir erreichen den Gipfel.,We reach the summit.
Der Gott,"God, god",noun,Viele Menschen glauben an Gott.,Many people believe in God.
Der Grad,"degree, order",noun,Es sind 20 Grad draußen.,It is 20 degrees outside.
Der Großvater,"grandfather, grandsire",noun,Mein Großvater erzählt gern Geschichten.,My grandfather likes to tell stories.
Der Grund,"reason, bottom",noun,Was ist der Grund für deine Entscheidung?,What is the reason for your decision?
Der Hafen,"port, harbour",noun,Im Hafen liegen viele Schiffe.,Many ships are in the port.
Der Hals,"neck, throat",noun,Sie hat Halsschmerzen.,She has a sore throat.
Der Halt,"support, stop",noun,Er braucht Halt.,He needs support.
Der Hase,"hare, rabbit",noun,Der Hase springt schnell über das Feld.,The hare jumps quickly across the field.
Der Herbst,"autumn, fall",noun,Im Herbst fallen die Blätter.,"In autumn, the leaves fall."
Der Herr,"Lord, sir",noun,"Guten Tag, Herr Müller.","Good day, Mr. Müller."
Der Himmel,"sky, heaven",noun,Der Himmel ist heute blau.,The sky is blue today.
Der Hof,"courtyard, yard",noun,Die Kinder spielen im Hof.,The children play in the courtyard.
Der Hund,"dog, hound",noun,Der Hund bellt.,The dog barks.
Der Hügel,"hill, hump",noun,Der Hügel ist grün.,The hill is green.
Der Inhalt,"content, plot",noun,Der Inhalt der Schachtel ist unbekannt.,The content of the box is unknown.
Der Januar,January,noun,Der Januar ist kalt.,January is cold.
Der Johannes,"John, Jack",noun,Johannes kommt heute zu Besuch.,John is coming to visit today.
Der Junge,boy,noun,Der Junge spielt Fußball.,The boy is playing soccer.
Der Kaffee,"coffee, cafe",noun,Möchtest du einen Kaffee?,Would you like a coffee?
Der Kampf,"fight, battle",noun,Der Kampf zwischen den Boxern war spannend.,The fight between the boxers was exciting.
Der Kasten,"box, cupboard",noun,No examples available.,
Der Klang,"sound, ring",noun,Der Klang ist schön.,The sound is beautiful.
Der Knoten,"knot, node",noun,Der Knoten ist fest.,The knot is tight.
Der Kohl,"cabbage, nonsense",noun,Sie kocht Kohl.,She cooks cabbage.
Der Kohlenstoff,carbon,noun,Kohlenstoff ist ein Element.,Carbon is an element.
Der Kolben,"piston, spadix",noun,Der Kolben bewegt sich im Motor.,The piston moves in the engine.
Der Kopf,"head, heads",noun,Ich habe Kopfschmerzen.,I have a headache.
Der Korb,"basket, refusal",noun,Der Korb ist voll mit Äpfeln.,The basket is full of apples.
Der Kreis,"circle, district",noun,Sie zeichnet einen Kreis.,She draws a circle.
Der Krieg,"war, warfare",noun,Der Krieg dauerte viele Jahre.,The war lasted many years.
Der Kuss,kiss,noun,Sie gibt ihm einen Kuss auf die Wange.,She gives him a kiss on the cheek.
Der Käse,"cheese, baloney",noun,Ich esse gern Käse zum Frühstück.,I like to eat cheese for breakfast.
Der König,"king, King",noun,Der König trägt eine goldene Krone.,The king wears a golden crown.
Der Körper,"body, field",noun,Der menschliche Körper besteht aus vielen Zellen.,The human body is made up of many cells.
Der Kühlschrank,"refrigerator, fridge",noun,Die Milch steht im Kühlschrank.,The milk is in the fridge.
Der Kürbis,"pumpkin, squash",noun,No examples available.,
Der Laden,"shop, store",noun,Der Laden ist heute geschlossen.,The shop is closed today.
Der Lauf,"race, run",noun,Der Lauf beginnt um acht Uhr.,The race starts at eight o'clock.
Der Lehrer,"teacher, instructor",noun,Der Lehrer erklärt die Aufgabe.,The teacher explains the task.
Der Leiter,"ladder, conductor",noun,Die Leiter steht an der Wand.,The ladder is leaning against the wall.
Der Lenz,spring,noun,Lenz ist die schönste Jahreszeit.,Spring is the most beautiful season.
Der Leuchtkäfer,"firefly, lightning bug",noun,No examples available.,
Der Löwe,"lion, Leo",noun,Der Löwe brüllt laut.,The lion roars loudly.
Der Magen,"stomach, maw",noun,Der Magen knurrt.,The stomach growls.
Der Mais,"maize, corn",noun,Mais wächst auf dem Feld.,Maize grows in the field.
Der Mann,"man, husband",noun,Der Mann arbeitet im Büro.,The man works in the office.
Der Markt,"market, market town",noun,Am Samstag ist Markt in der Stadt.,There is a market in the city on Saturday.
Der Matthäus,Matthew,noun,No examples available.,
Der Meister,"master, champion",noun,Er ist Meister im Schach.,He is a chess champion.
Der Moment,"moment, torque",noun,"Einen Moment, bitte.","One moment, please."
Der Mond,"moon, Moon",noun,Der Mond scheint hell in der Nacht.,The moon shines brightly at night.
Der Morgen,"morning, tomorrow",noun,Guten Morgen!,Good morning!
Der Mund,"mouth, mund",noun,Bitte öffne den Mund.,Please open your mouth.
Der Nagel,nail,noun,Ich schlage einen Nagel in die Wand.,I hammer a nail into the wall.
Der Name,name,noun,Wie ist dein Name?,What is your name?
Der Narr,"fool, court jester",noun,Er ist ein Narr.,He is a fool.
Der Nebel,"fog, mist",noun,Am Morgen liegt Nebel über der Stadt.,"In the morning, fog covers the city."
Der Onkel,"uncle, paternal uncle",noun,Mein Onkel besucht uns am Wochenende.,My uncle visits us on the weekend.
Der Ort,"place, site",noun,Das ist ein schöner Ort.,That is a beautiful place.
Der Osten,east,noun,Die Sonne geht im Osten auf.,The sun rises in the east.
Der Papagei,"parrot, popinjay",noun,Der Papagei spricht.,The parrot talks.
Der Pass,"passport, pass",noun,Ich habe meinen Pass vergessen.,I forgot my passport.
Der Pilz,"mushroom, fungus",noun,Der Pilz wächst im Wald.,The mushroom grows in the forest.
Der Plan,"plan, blueprint",noun,Wir machen einen Plan.,We are making a plan.
Der Planet,planet,noun,Die Erde ist ein Planet.,Earth is a planet.
Der Platz,"square, place",noun,Der Platz ist voll.,The square is full.
Der Portwein,"port, port wine",noun,No examples available.,
Der Preis,"price, prize",noun,Wie hoch ist der Preis?,What is the price?
Der Punkt,"dot, point",noun,Setze einen Punkt am Satzende.,Put a dot at the end of the sentence.
Der Rand,"edge, margin",noun,Der Rand des Tisches ist scharf.,The edge of the table is sharp.
Der Rauch,"smoke, fume",noun,Der Rauch steigt auf.,The smoke rises.
Der Raum,"space, room",noun,Das ist ein großer Raum.,That is a big room.
Der Regen,"rain, Regen",noun,Der Regen ist stark.,The rain is heavy.
Der Regenbogen,rainbow,noun,Nach dem Regen erscheint ein Regenbogen.,"After the rain, a rainbow appears."
Der Reis,"rice, shoot",noun,Ich esse gerne Reis.,I like to eat rice.
Der Richter,"judge, Judges",noun,Der Richter entscheidet über den Fall.,The judge decides the case.
Der Riegel,"bolt, bar",noun,Der Riegel ist fest.,The bolt is tight.
Der Ring,ring,noun,Der Ring ist aus Gold.,The ring is made of gold.
Der Riss,"tear, rip",noun,Der Riss im Stoff ist groß.,The tear in the fabric is large.
Der Ritter,knight,noun,Der Ritter trägt eine Rüstung.,The knight wears armor.
Der Ruf,"call, reputation",noun,Ich höre einen Ruf.,I hear a call.
Der Rücken,"back, ridge",noun,Mein Rücken tut weh.,My back hurts.
Der Samstag,Saturday,noun,Samstag ist mein freier Tag.,Saturday is my day off.
Der Sand,"sand, sandbank",noun,Der Sand ist heiß.,The sand is hot.
Der Satz,"sentence, set",noun,Schreibe einen Satz.,Write a sentence.
Der Schatten,"shade, shadow",noun,Wir suchen Schatten.,We seek shade.
Der Schlaf,"sleep, rheum",noun,Er braucht Schlaf.,He needs sleep.
Der Schlag,"blow, stroke",noun,Er erhält einen Schlag.,He receives a blow.
Der Schluss,"conclusion, end",noun,Das ist der Schluss der Geschichte.,That is the end of the story.
Der Schlüssel,"key, wrench",noun,Wo ist mein Schlüssel?,Where is my key?
Der Schmerz,"pain, ache",noun,Der Schmerz ist stark.,The pain is strong.
Der Schmetterling,"butterfly, Lepidopter",noun,Ein bunter Schmetterling fliegt über die Blumen.,A colorful butterfly flies over the flowers.
Der Schnee,snow,noun,Im Winter fällt viel Schnee.,A lot of snow falls in winter.
Der Schnitt,"cut, average",noun,Der Schnitt in das Papier ist sauber.,The cut in the paper is clean.
Der Schnuller,"dummy, pacifier",noun,Das Baby braucht den Schnuller.,The baby needs the pacifier.
Der Schritt,"step, crotch",noun,Er macht einen Schritt nach vorne.,He takes a step forward.
Der Schuh,"shoe, boot",noun,Ich kaufe neue Schuhe.,I am buying new shoes.
Der Schwanz,"tail, prick",noun,Der Hund wedelt mit dem Schwanz.,The dog wags its tail.
Der See,"lake, sea",noun,Wir schwimmen im See.,We swim in the lake.
Der Sinn,"sense, meaning",noun,Das ergibt keinen Sinn.,That doesn't make sense.
Der Sohn,son,noun,Mein Sohn spielt Fußball.,My son plays football.
Der Soldat,soldier,noun,Der Soldat marschiert.,The soldier marches.
Der Sommer,"summer, Summer",noun,Im Sommer ist es warm.,It is warm in summer.
Der Sonntag,Sunday,noun,Am Sonntag habe ich frei.,I have a day off on Sunday.
Der Spaziergang,"walk, stroll",noun,Wir machen einen Spaziergang.,We take a walk.
Der Spaß,"fun, joke",noun,Das Spiel macht Spaß.,The game is fun.
Der Spiegel,"mirror, looking glass",noun,Sie schaut in den Spiegel.,She looks in the mirror.
Der Sprung,"jump, leap",noun,Er macht einen großen Sprung.,He makes a big jump.
Der Stall,"stable, stall",noun,Das Pferd steht im Stall.,The horse is in the stable.
Der Stamm,"trunk, phylum",noun,Der Stamm des Baumes ist dick.,The trunk of the tree is thick.
Der Start,"start, take-off",noun,Der Start des Rennens war spannend.,The start of the race was exciting.
Der Stein,"stone, rock",noun,Der Junge wirft einen Stein ins Wasser.,The boy throws a stone into the water.
Der Stern,"star, asterisk",noun,Der Stern leuchtet am Himmel.,The star shines in the sky.
Der Stift,"pencil, apprentice",noun,Ich habe einen neuen Stift.,I have a new pencil.
Der Stock,"stick, floor",noun,Der alte Mann braucht einen Stock.,The old man needs a stick.
Der Stoff,"fabric, cloth",noun,Der Stoff fühlt sich weich an.,The fabric feels soft.
Der Strand,"beach, shore",noun,Wir gehen an den Strand.,We go to the beach.
Der Strauß,"ostrich, bouquet",noun,No examples available.,
Der Strom,"stream, current",noun,Der Strom fließt schnell.,The stream flows quickly.
Der Sturm,"storm, assault",noun,Der Sturm hat Bäume umgeworfen.,The storm knocked down trees.
Der Säugling,"baby, infant",noun,No examples available.,
Der Tag,"day, diet",noun,Heute ist ein schöner Tag.,Today is a beautiful day.
Der Takt,"bar, tact",noun,Der Takt ist schnell.,The beat is fast.
Der Tee,"tea, tea plant",noun,Ich trinke gern Tee.,I like to drink tea.
Der Tisch,table,noun,Der Tisch ist rund.,The table is round.
Der Tod,death,noun,Der Tod kam unerwartet.,The death was unexpected.
Der Traum,dream,noun,Ich hatte einen schönen Traum.,I had a beautiful dream.
Der Tropfen,"drop, dripping",noun,Ein Tropfen Wasser.,A drop of water.
